,coal,downstream_biofuels,downstream_refiners,downstream_retail,iocs_integrated,lng_terminals,midstream_gpt,midstream_pipelines,minerals_royalty,ofs_equipment,ofs_offshore,ofs_onshore,petrochem,power_ipps_merchant,power_renewables,power_utilities_regulated_gas,power_utilities_regulated_ldc,tanker_shipping,upstream_gas_eandp,upstream_offshore_drillers,upstream_oil_eandp,uranium_nuclear_fuel
coal,1.0,0.29587499200150236,0.4772093161995141,0.17430680155702805,0.44346409406705745,0.4261205983765753,0.4944191970320074,0.457566394323117,0.5250891539089015,0.4594719850104052,0.4718456187338906,0.5056399912873352,0.3717054688363379,0.21603020083908064,0.1706468476881437,0.150589490208202,0.20768952768993224,0.43250624849501235,0.49301209847867694,0.4481791730205828,0.5311500889506358,0.3392219842102445
downstream_biofuels,0.29587499200150236,1.0,0.5060717180930429,0.14959597063999744,0.42049866761866034,0.3846262290751585,0.4260214612430328,0.41807730355230366,0.43055308389859115,0.47911203552514914,0.47263445507574153,0.5267109680147998,0.4448508116091086,0.21172478880850776,0.3219146269617038,0.19955000092348313,0.23932940355322324,0.33624273486881023,0.33289647717916276,0.43383161474732496,0.5039452354131634,0.3224510079066646
downstream_refiners,0.4772093161995141,0.5060717180930429,1.0,0.19606674026992596,0.726031412795026,0.5057582010577263,0.6442036803434655,0.6357680598612452,0.6888235969917443,0.6969928184618459,0.6669111920757758,0.7282643359480517,0.5535437249460309,0.24892082904935642,0.2548896494374557,0.2127173276306568,0.29665494655624736,0.5033937504052026,0.5182194292424588,0.5879893133040598,0.758130793081301,0.30587941793800033
downstream_retail,0.17430680155702805,0.14959597063999744,0.19606674026992596,1.0,0.1525415329859636,0.1748220188362181,0.25133667004730414,0.24778869053871475,0.19567452102857158,0.17698942038876544,0.17412494735589698,0.1730227851213904,0.23210922396649292,0.17733816643352304,0.19759857072292844,0.29931046288641905,0.3244150643519122,0.12619811625299657,0.17033162668769336,0.1287136960467506,0.16700133251927837,0.14917905525970718
iocs_integrated,0.44346409406705745,0.42049866761866034,0.726031412795026,0.1525415329859636,1.0,0.526776817115679,0.7085795745980202,0.6749259233446828,0.7495124010224895,0.7342324745610186,0.710861681708302,0.7607810375373094,0.5244514434606563,0.19863832758671277,0.23005486172039705,0.2550905515666951,0.3319995580304139,0.47453306769794223,0.5422566671039802,0.6245077010911548,0.8373738275077061,0.29631641240048695
lng_terminals,0.4261205983765753,0.3846262290751585,0.5057582010577263,0.1748220188362181,0.526776817115679,1.0,0.6664000738873574,0.5999960697350072,0.5978948585357089,0.5366891811460522,0.5082625984783671,0.566683566352723,0.36002266656975274,0.31731847881176833,0.25661154523332996,0.23712101085055762,0.3148743885734427,0.43902803261096235,0.5221790919281756,0.49321399574615216,0.6208066632620192,0.3650762258757331
midstream_gpt,0.4944191970320074,0.4260214612430328,0.6442036803434655,0.25133667004730414,0.7085795745980202,0.6664000738873574,1.0,0.8242212534468003,0.7794189872431783,0.7286809236573527,0.6953649949946769,0.7624360293993105,0.48029642206485657,0.4697612817842851,0.3288745103571562,0.3977458117565795,0.4728980840482579,0.5127136297233718,0.6685525184183068,0.5941115160644879,0.7906847649849291,0.44046444690232744
midstream_pipelines,0.457566394323117,0.41807730355230366,0.6357680598612452,0.24778869053871475,0.6749259233446828,0.5999960697350072,0.8242212534468003,1.0,0.7127882904046248,0.6686455746238473,0.6257633851595776,0.6876646691977587,0.4779820079692539,0.36816288626111554,0.3480511541570697,0.3687314622650804,0.4337499991711777,0.4723097952695465,0.5646628063739167,0.5374665110415493,0.7090766235180035,0.3863664234965481
minerals_royalty,0.5250891539089015,0.43055308389859115,0.6888235969917443,0.19567452102857158,0.7495124010224895,0.5978948585357089,0.7794189872431783,0.7127882904046248,1.0,0.7283566505932905,0.7081918969987956,0.7662156483024205,0.4918758629865854,0.32322903151488996,0.25721467298803014,0.23478605611036843,0.32600423461513134,0.5431932761568883,0.645651567135733,0.6465617845127148,0.8504419033451345,0.39256651885507815
ofs_equipment,0.4594719850104052,0.47911203552514914,0.6969928184618459,0.17698942038876544,0.7342324745610186,0.5366891811460522,0.7286809236573527,0.6686455746238473,0.7283566505932905,1.0,0.8782787870820732,0.9006712478013721,0.5477263566238859,0.3440013571901574,0.2792854091534871,0.22374904278629876,0.3187903513852242,0.5284229932438692,0.5499509918124005,0.7531821429285284,0.8200424716956102,0.40401488270902236
ofs_offshore,0.4718456187338906,0.47263445507574153,0.6669111920757758,0.17412494735589698,0.710861681708302,0.5082625984783671,0.6953649949946769,0.6257633851595776,0.7081918969987956,0.8782787870820732,1.0,0.8810796241348429,0.5407474383908764,0.31033706528266053,0.2792768586579419,0.21771881171233215,0.324638261535571,0.545619182647961,0.5330743141073412,0.7424174605026485,0.7945053522742132,0.40918076976134615
ofs_onshore,0.5056399912873352,0.5267109680147998,0.7282643359480517,0.1730227851213904,0.7607810375373094,0.566683566352723,0.7624360293993105,0.6876646691977587,0.7662156483024205,0.9006712478013721,0.8810796241348429,1.0,0.5682378103566131,0.35976458513317455,0.30848553139835383,0.2400072723729399,0.34164041293785163,0.5378515125896911,0.5984243716039922,0.75732302549062,0.8619181585919304,0.4414119737886934
petrochem,0.3717054688363379,0.4448508116091086,0.5535437249460309,0.23210922396649292,0.5244514434606563,0.36002266656975274,0.48029642206485657,0.4779820079692539,0.4918758629865854,0.5477263566238859,0.5407474383908764,0.5682378103566131,1.0,0.2642610815571362,0.3348468975906885,0.3260510840059622,0.3668133215795344,0.31377913924016293,0.3662616463833374,0.530177770200564,0.5894793536186191,0.26330718157389216
power_ipps_merchant,0.21603020083908064,0.21172478880850776,0.24892082904935642,0.17733816643352304,0.19863832758671277,0.31731847881176833,0.4697612817842851,0.36816288626111554,0.32322903151488996,0.3440013571901574,0.31033706528266053,0.35976458513317455,0.2642610815571362,1.0,0.32782483179252103,0.3003724817421356,0.2641345564018956,0.24484752845300425,0.31004652239044,0.3161713913250179,0.30340285617734625,0.38253271169602654
power_renewables,0.1706468476881437,0.3219146269617038,0.2548896494374557,0.19759857072292844,0.23005486172039705,0.25661154523332996,0.3288745103571562,0.3480511541570697,0.25721467298803014,0.2792854091534871,0.2792768586579419,0.30848553139835383,0.3348468975906885,0.32782483179252103,1.0,0.5691716704098043,0.4748937159376234,0.20393080298329438,0.23104334994222256,0.2631054777510216,0.2668395142929184,0.2734144720542674
power_utilities_regulated_gas,0.150589490208202,0.19955000092348313,0.2127173276306568,0.29931046288641905,0.2550905515666951,0.23712101085055762,0.3977458117565795,0.3687314622650804,0.23478605611036843,0.22374904278629876,0.21771881171233215,0.2400072723729399,0.3260510840059622,0.3003724817421356,0.5691716704098043,1.0,0.8428218340788723,0.1175254649647163,0.2411858194661452,0.17187234442634466,0.21068669437680312,0.1267430514609617
power_utilities_regulated_ldc,0.20768952768993224,0.23932940355322324,0.29665494655624736,0.3244150643519122,0.3319995580304139,0.3148743885734427,0.4728980840482579,0.4337499991711777,0.32600423461513134,0.3187903513852242,0.324638261535571,0.34164041293785163,0.3668133215795344,0.2641345564018956,0.4748937159376234,0.8428218340788723,1.0,0.19859555980557728,0.31967397498869754,0.2366379481110596,0.31527068818460924,0.16257049117560265
tanker_shipping,0.43250624849501235,0.33624273486881023,0.5033937504052026,0.12619811625299657,0.47453306769794223,0.43902803261096235,0.5127136297233718,0.4723097952695465,0.5431932761568883,0.5284229932438692,0.545619182647961,0.5378515125896911,0.31377913924016293,0.24484752845300425,0.20393080298329438,0.1175254649647163,0.19859555980557728,1.0,0.4425688998062514,0.48016861353792506,0.5514540059796498,0.33935191081998956
upstream_gas_eandp,0.49301209847867694,0.33289647717916276,0.5182194292424588,0.17033162668769336,0.5422566671039802,0.5221790919281756,0.6685525184183068,0.5646628063739167,0.645651567135733,0.5499509918124005,0.5330743141073412,0.5984243716039922,0.3662616463833374,0.31004652239044,0.23104334994222256,0.2411858194661452,0.31967397498869754,0.4425688998062514,1.0,0.491993434819334,0.6855095031471012,0.3382961650945965
upstream_offshore_drillers,0.4481791730205828,0.43383161474732496,0.5879893133040598,0.1287136960467506,0.6245077010911548,0.49321399574615216,0.5941115160644879,0.5374665110415493,0.6465617845127148,0.7531821429285284,0.7424174605026485,0.75732302549062,0.530177770200564,0.3161713913250179,0.2631054777510216,0.17187234442634466,0.2366379481110596,0.48016861353792506,0.491993434819334,1.0,0.7405915518215618,0.3696851800963954
upstream_oil_eandp,0.5311500889506358,0.5039452354131634,0.758130793081301,0.16700133251927837,0.8373738275077061,0.6208066632620192,0.7906847649849291,0.7090766235180035,0.8504419033451345,0.8200424716956102,0.7945053522742132,0.8619181585919304,0.5894793536186191,0.30340285617734625,0.2668395142929184,0.21068669437680312,0.31527068818460924,0.5514540059796498,0.6855095031471012,0.7405915518215618,1.0,0.38585416195632943
