node,n_names,mean_pair_corr,min_corr,max_corr,min_pair,max_pair
iocs_integrated,2,0.8522431034625961,0.8522431034625961,0.8522431034625961,XOM-CVX,XOM-CVX
petrochem,4,0.7484887433213121,0.6740892571594177,0.883087631139344,LYB-OLN,LYB-DOW
upstream_offshore_drillers,4,0.7194537813293992,0.6722869027637096,0.7940496894516509,RIG-SDRL,NE-VAL
power_ipps_merchant,4,0.6648798397166801,0.564702118569419,0.7382909474222661,NRG-CEG,VST-TLN
power_utilities_regulated,5,0.6491985382786887,0.5226533044242645,0.8428376901955377,D-NJR,SO-DUK
midstream_gpt,8,0.6219214104781065,0.46572899613407237,0.8415719893600321,HESM-KRP,WMB-KMI
coal,3,0.6216648831124516,0.5710708449705744,0.7161625711457726,ARLP-BTU,CNR-BTU
tanker_shipping,12,0.6070774873837589,0.4620655906521048,0.8085460818044806,NAT-NVGS,INSW-TNK
ofs_equipment,6,0.6012953142404078,0.44686364945693174,0.7196336590493996,WFRD-FET,NOV-WHD
uranium_nuclear_fuel,2,0.5990223864641349,0.5990223864641349,0.5990223864641349,UEC-LEU,UEC-LEU
ofs_offshore,5,0.597323566334159,0.5176548244897495,0.7119537468764319,VTOL-INVX,OII-HLX
compression_services,3,0.5847186383733711,0.4482329556631205,0.7539952624422299,KGS-USAC,AROC-KGS
upstream_oil_eandp,29,0.5749986932826844,0.10933350171269275,0.8708823031142595,CTRA-SOC,COP-EOG
downstream_refiners,11,0.5483824427865674,0.20464164068378904,0.8772872211734326,CLMT-CAPL,VLO-MPC
ofs_onshore,20,0.5019784485295874,-0.30703747951339383,0.8495259150132863,TTI-NINE,SLB-HAL
downstream_retail,2,0.4991781212699634,0.4991781212699634,0.4991781212699634,MUSA-CASY,MUSA-CASY
upstream_gas_eandp,10,0.49671896552655953,0.024915938640589552,0.8652786634515639,DEC-TXO,AR-RRC
power_renewables,5,0.4873012595602385,0.36879384019744377,0.5633313445190401,ORA-XIFR,NEE-CWEN
downstream_biofuels,2,0.4856415291335702,0.4856415291335702,0.4856415291335702,GPRE-REX,GPRE-REX
midstream_pipelines,13,0.4588612235260708,0.07548470230480421,0.9627248111512622,SUNC-GLP,PAA-PAGP
minerals_royalty,9,0.36958103285243715,0.2012872923092951,0.5778280089612963,PBT-FLOC,VNOM-BSM
lng_export,7,0.3687822492720206,0.1543741984314121,0.5535740805029723,VG-FLNG,LNG-CQP
