node,representative,corr,note
coal,CNR,0.7277998642488474,ok
downstream_biofuels,GPRE,0.46203262633382536,ok
downstream_refiners,VLO,0.8864010187658005,ok
downstream_retail,MUSA,0.49365567692548507,ok
iocs_integrated,XOM,0.8438903301152494,ok
lng_terminals,LNG,0.5823002870044974,ok
midstream_gpt,TRGP,0.8469936592257478,ok
midstream_pipelines,PAGP,0.854887936580196,ok
minerals_royalty,VNOM,0.7286844172659963,ok
nuclear_smr_developers,OKLO,,singleton
ofs_equipment,NOV,0.8472027177251654,ok
ofs_offshore,OII,0.829675204697279,ok
ofs_onshore,HAL,0.8877785391280965,ok
petrochem,DOW,0.8650792461517274,ok
power_ipps_merchant,VST,0.7534985725200732,ok
power_renewables,CWEN,0.5698415940389001,ok
power_utilities_regulated_gas,LNT,0.9005580847756466,ok
power_utilities_regulated_ldc,SR,0.8452713543448696,ok
tanker_shipping,TNK,0.8748718982812704,ok
upstream_gas_eandp,,-inf,ok
upstream_offshore_drillers,VAL,0.7458281497163626,ok
upstream_oil_eandp,MGY,0.9095440388406745,ok
uranium_nuclear_fuel,UEC,0.5885416570057298,ok
