ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
COP,ConocoPhillips,upstream_oil_eandp,0.7742529923989571,0.069202168307631,0.7446753051602384,0.010460147907002927,-0.05513685190007487,-0.05815048177133351,-0.6805006043567505,-1.243084049299263,1254
EOG,EOG Resources,upstream_oil_eandp,0.7800642432994326,0.02998134948353263,0.7464621529822668,0.010481467786234563,0.03364913722458955,-0.026579008952351733,0.41445387466386957,-0.5670243138092483,1254
FANG,Diamondback Energy,upstream_oil_eandp,0.9279778026855957,0.07542034510913183,0.7841462896528966,0.011167893592300545,-0.01104853618380459,0.041443649251711574,-0.12771968824794436,0.8297967400618429,1254
OXY,Occidental Petroleum,upstream_oil_eandp,0.9041721719879277,0.017217249613364842,0.6807513585149003,0.014210195802594604,0.010340834718234639,-0.08435027723356953,0.09394634952248773,-1.3273072126196601,1254
DVN,Devon Energy,upstream_oil_eandp,1.0091228374124035,0.017161280151936055,0.7763483772336827,0.012391505207678455,-0.10737286242008404,-0.02886716135780624,-1.1186515843394613,-0.5209127868784804,1254
CTRA,Coterra Energy,upstream_oil_eandp,0.6958594128969324,0.07554134236847762,0.5446403415509027,0.0147117104148365,-0.068011285691024,-0.03275548634530959,-0.5968183834691986,-0.497858454516027,1254
OVV,Ovintiv,upstream_oil_eandp,1.1475360378770885,0.016150845101390875,0.7983310722047938,0.01312819600055187,0.048615974599570524,0.055397445378448894,0.4780775159457409,0.9435603615366198,1254
APA,APA Corporation,upstream_oil_eandp,1.1867630784932626,-0.03138723491558046,0.7662989497227071,0.014898153590585583,0.14823644745962705,-0.001794248987948336,1.2845379100644203,-0.02692993249947414,1254
PR,Permian Resources,upstream_oil_eandp,1.2133174133303528,0.15552418223521614,0.7506056600322102,0.015871029322770697,-0.02333045117314181,0.021146537448205542,-0.18977649362549162,0.29793338706199113,1254
MTDR,Matador Resources,upstream_oil_eandp,1.1804654657869809,-0.020300426443229786,0.7998966943715655,0.013420115580962084,0.001150543075570297,-0.043058608723467715,0.011068047176134603,-0.7174452078402802,1254
CHRD,Chord Energy,upstream_oil_eandp,0.9421440199364801,0.08030078847076949,0.7328576485678053,0.013042908692216682,0.15337814453756218,0.0389516875285015,1.5181455136119513,0.6677852556311765,1254
SM,SM Energy,upstream_oil_eandp,1.3411436496662519,-0.08851670835093389,0.7714457928208641,0.01649395951296844,0.0998724699407292,-0.001423335811675668,0.7817092322412911,-0.019296007288087745,1254
MGY,Magnolia Oil & Gas,upstream_oil_eandp,1.0006770906784663,0.04196206871955256,0.8115321635658754,0.01102791802064795,-0.1320182090355818,-0.04543336176371934,-1.5454846026046656,-0.9212263380975615,1254
NOG,Northern Oil & Gas,upstream_oil_eandp,1.187314680236933,-0.05706701479506213,0.7513714731550971,0.01552323439608442,-0.23150827966866067,-0.12640906962514287,-1.9253455579077368,-1.8208787256708645,1254
CRGY,Crescent Energy,upstream_oil_eandp,1.1694212857393518,-0.1455004081530322,0.6615866060692543,0.01862291879668375,0.08637459759888994,0.039097023465068874,0.5987736252805482,0.46944092459537656,1105
MUR,Murphy Oil,upstream_oil_eandp,1.1380564743430086,0.0011855559981747913,0.784036728339917,0.01359796752449152,-0.007566078998526175,-0.0037291958260123794,-0.07183254385775649,-0.061323395230596975,1254
CRC,California Resources,upstream_oil_eandp,0.8037215667921684,0.08651304460129917,0.5064389159918663,0.01828152240227443,-0.05711409116284266,-0.08436484679805567,-0.40332513350555127,-1.0318918096686427,1254
TALO,Talos Energy,upstream_oil_eandp,1.2883265485370907,-0.1617745114728393,0.6820972822551683,0.019902043362434327,-0.030729642368158942,0.02295402320439608,-0.19933529932816574,0.25789691695184375,1254
KOS,Kosmos Energy,upstream_oil_eandp,1.4437211126055474,-0.24161872351551109,0.5376588061259007,0.030107323015596012,0.4538950782356345,0.06500208615246358,1.9462906948158911,0.4827698671214093,1254
HPK,HighPeak Energy,upstream_oil_eandp,1.1371040783125375,-0.2607405442536692,0.3647934801260698,0.03410690417982022,0.1545639287794035,-0.005038280602317436,0.5850462797120923,-0.033031253311949685,1254
REPX,Riley Exploration Permian,upstream_oil_eandp,0.951110158386012,-0.09871535338312896,0.3119280243972036,0.03231940333732979,0.012331667680377793,-0.14448102798809379,0.0492586894406999,-0.9996143699449841,1254
VTS,Vitesse Energy,upstream_oil_eandp,0.7348797660219732,0.08241563652753572,0.41285009594391264,0.017851182677626847,-0.2988268175872199,0.021618171733545508,-2.1611103847029507,0.2707927111521697,832
GRNT,Granite Ridge Resources,upstream_oil_eandp,0.4127797829014116,-0.12262475844063085,0.14930952934843933,0.023028424273119796,0.08439512127697317,0.011939850563791973,0.4731267401397275,0.11593636275405943,1254
GFR,Greenfire Resources,upstream_oil_eandp,0.35259960157120573,-0.16208365688491322,0.08881896057749328,0.02587684733370896,-0.05462199583269447,-0.00837892854020536,-0.2725088280248845,-0.07240392754532216,1102
EGY,VAALCO Energy,upstream_oil_eandp,1.133422294893676,0.036512496015845004,0.5180273759438598,0.024861354015519053,0.021056779637873925,0.010150770996960889,0.10934314198566725,0.09129757759400127,1254
GPRK,GeoPark,upstream_oil_eandp,0.788303734162169,-0.19712109672649714,0.3883189797375448,0.022785728245839278,0.01834118720804653,0.13028124711153943,0.10391755143106282,1.2785096073813025,1254
WTI,W&T Offshore,upstream_oil_eandp,1.4849171783334913,-0.2062147935003953,0.597378076380396,0.027383832332726517,0.2283364263972607,0.297919528628435,1.07647846854051,2.432706677953674,1254
SD,SandRidge Energy,upstream_oil_eandp,1.0102707923271257,0.1542789212330416,0.566939239992617,0.020172060712852952,-0.37767196613060516,-0.06722883981362496,-2.4170679369762347,-0.7452300387730125,1254
BKV,BKV Corporation,upstream_gas_eandp,1.038007719824428,0.102138258976771,0.5009682227154754,0.01965012470384726,-0.028367906098338225,0.149130521416574,-0.18637443704386744,1.697017135683414,402
DEC,Diversified Energy,upstream_gas_eandp,inf,inf,,,-inf,-inf,,,609
TPL,Texas Pacific Land,minerals_royalty,1.1372406712609449,-0.1750736649920597,0.3278930672583762,0.023683370303986262,0.08422480638430258,-0.05318079988012073,0.459114374737793,-0.5021070992152975,1254
VNOM,Viper Energy,minerals_royalty,1.0687335722510785,-0.04994106085429969,0.48485953197557285,0.016323417849628676,0.03235848236986234,0.05100036859599148,0.2559183468427723,0.6986299812252655,1254
BSM,Black Stone Minerals,minerals_royalty,0.7147283713626925,-0.06290214803600805,0.4447505163208134,0.012438445480460863,-0.14840145289283374,-0.0469965330493993,-1.5402684537222249,-0.8448599366403997,1254
NRP,Natural Resource Partners,minerals_royalty,0.5031477025657157,0.30811204863419456,0.13422897579828708,0.020303779901257913,-0.18225015388407997,-0.07672736623274888,-1.1588183978049165,-0.8450032824691871,1254
SBR,Sabine Royalty Trust,minerals_royalty,0.8489258845933914,0.007957218518660604,0.4145769212548984,0.015395681487912512,0.0265658738712875,0.015796065327492826,0.22276633691450815,0.2294219705508508,1254
