ticker,name,node,window,n_weeks,actual,factor,idio,idio_share
XOM,ExxonMobil,iocs_integrated,1m,4,-0.025366513521135753,0.05522062387752225,-0.080587137398658,3.1769102731249057
XOM,ExxonMobil,iocs_integrated,3m,13,0.004225013961836055,0.24045720915634475,-0.2362321951945087,-55.912760840167685
XOM,ExxonMobil,iocs_integrated,ytd,19,0.22845945370974863,0.3101708973610333,-0.08171144365128469,-0.3576627814014508
XOM,ExxonMobil,iocs_integrated,1y,52,0.35992402302841886,0.38253489317279316,-0.022610870144374295,-0.0628212308645733
CVX,Chevron,iocs_integrated,1m,4,-0.01814290394861936,0.06247402535578653,-0.0806169293044059,4.443441332915214
CVX,Chevron,iocs_integrated,3m,13,0.03323194689983954,0.22310652660539754,-0.189874579705558,-5.713615885275587
CVX,Chevron,iocs_integrated,ytd,19,0.22018655150386138,0.2848794799366984,-0.064692928432837,-0.29380962638720687
CVX,Chevron,iocs_integrated,1y,52,0.33444078515259623,0.3954493246990356,-0.061008539546439366,-0.18241955603172869
COP,ConocoPhillips,upstream_oil_eandp,1m,4,-0.030236318346233675,0.0837117230654123,-0.11394804141164598,3.7685818791440155
COP,ConocoPhillips,upstream_oil_eandp,3m,13,0.10742830650782649,0.32147822660697095,-0.21404992009914448,-1.9924908718871992
COP,ConocoPhillips,upstream_oil_eandp,ytd,19,0.2692587309195992,0.4017243159449007,-0.13246558502530154,-0.49196393585044357
COP,ConocoPhillips,upstream_oil_eandp,1y,52,0.32794213721660015,0.505305991387256,-0.1773638541706558,-0.5408388677222958
EOG,EOG Resources,upstream_oil_eandp,1m,4,-0.0033408335828553,0.08662885973537789,-0.08996969331823318,26.930312775812993
EOG,EOG Resources,upstream_oil_eandp,3m,13,0.1771467995269429,0.3272589763449987,-0.15011217681805578,-0.84738859081236
EOG,EOG Resources,upstream_oil_eandp,ytd,19,0.28062613358922384,0.4166577900904865,-0.13603165650126264,-0.48474336570657267
EOG,EOG Resources,upstream_oil_eandp,1y,52,0.22738401389588342,0.5307474592661798,-0.3033634453702964,-1.3341458802341448
FANG,Diamondback Energy,upstream_oil_eandp,1m,4,0.035851343853340115,0.09577627580633243,-0.05992493195299231,-1.6714835627398488
FANG,Diamondback Energy,upstream_oil_eandp,3m,13,0.16179485059702484,0.37446389514327505,-0.2126690445462502,-1.3144364221821585
FANG,Diamondback Energy,upstream_oil_eandp,ytd,19,0.2936417915205164,0.48890837152828664,-0.19526658000777025,-0.6649822526849937
FANG,Diamondback Energy,upstream_oil_eandp,1y,52,0.3738766243161614,0.6459293233978594,-0.27205269908169794,-0.7276536733990674
OXY,Occidental Petroleum,upstream_oil_eandp,1m,4,-0.05041304908173336,0.08819968446595794,-0.1386127335476913,2.7495407651888324
OXY,Occidental Petroleum,upstream_oil_eandp,3m,13,0.1788914366556554,0.38293722902530214,-0.20404579236964673,-1.1406124081971036
OXY,Occidental Petroleum,upstream_oil_eandp,ytd,19,0.3291269752148313,0.49099369739453996,-0.16186672217970866,-0.4918063068943324
OXY,Occidental Petroleum,upstream_oil_eandp,1y,52,0.28946724817165315,0.6068842843111841,-0.317417036139531,-1.0965559597654506
